File Size, Method, Mean (ms), Stddev (ms)
16777216, read_plain 4 Kb, 49.663585, 0.475444
16777216, read_plain 8 Kb, 49.832538, 0.408531
16777216, read_plain 12 Kb, 49.433244, 0.287925
16777216, read_plain 16 Kb, 49.251917, 0.542792
16777216, read_plain 24 Kb, 48.496201, 0.247126
16777216, read_plain 32 Kb, 48.436090, 0.190151
16777216, read_plain 40 Kb, 50.075122, 0.066877
16777216, read_plain 48 Kb, 50.146137, 0.065491
16777216, read_plain 56 Kb, 50.102773, 0.086445
16777216, read_plain 64 Kb, 50.143376, 0.051713
16777216, read_plain 256 Kb, 52.616099, 0.238311
16777216, read_plain 1024 Kb, 60.680622, 3.790453
16777216, read_plain 4096 Kb, 58.877700, 0.807865
16777216, read_plain 16384 Kb, 59.335702, 0.384453
16777216, read_direct 4 Kb, 249.734576, 5.231335
16777216, read_direct 8 Kb, 161.668132, 9.270740
16777216, read_direct 12 Kb, 127.028522, 11.231197
16777216, read_direct 16 Kb, 118.658742, 14.685690
16777216, read_direct 24 Kb, 94.956394, 8.098382
16777216, read_direct 32 Kb, 92.719162, 2.299758
16777216, read_direct 40 Kb, 90.403385, 2.147558
16777216, read_direct 48 Kb, 87.176010, 2.994028
16777216, read_direct 56 Kb, 86.173917, 0.814862
16777216, read_direct 64 Kb, 84.409558, 2.934792
16777216, read_direct 256 Kb, 72.934740, 3.232612
16777216, read_direct 1024 Kb, 61.669916, 3.576517
16777216, read_direct 4096 Kb, 61.752060, 2.697001
16777216, read_direct 16384 Kb, 58.232800, 3.579005
16777216, read_fadvise 4 Kb, 48.171093, 0.463176
16777216, read_fadvise 8 Kb, 47.459515, 0.198544
16777216, read_fadvise 12 Kb, 47.520655, 0.407281
16777216, read_fadvise 16 Kb, 47.327074, 0.184211
16777216, read_fadvise 24 Kb, 47.618964, 0.225103
16777216, read_fadvise 32 Kb, 47.875929, 0.445740
16777216, read_fadvise 40 Kb, 48.411045, 0.037239
16777216, read_fadvise 48 Kb, 48.713710, 0.863879
16777216, read_fadvise 56 Kb, 48.425020, 0.073165
16777216, read_fadvise 64 Kb, 48.992420, 0.951472
16777216, read_fadvise 256 Kb, 48.861803, 0.112181
16777216, read_fadvise 1024 Kb, 53.319433, 3.939563
16777216, read_fadvise 4096 Kb, 62.002839, 3.696841
16777216, read_fadvise 16384 Kb, 57.495263, 0.103138
16777216, aio_read_direct 4 Kb, 417.686975, 58.300546
16777216, aio_read_direct 8 Kb, 290.780883, 22.453843
16777216, aio_read_direct 12 Kb, 208.427376, 9.986053
16777216, aio_read_direct 16 Kb, 175.651968, 27.748160
16777216, aio_read_direct 24 Kb, 144.583171, 10.695254
16777216, aio_read_direct 32 Kb, 114.313573, 10.780034
16777216, aio_read_direct 40 Kb, 87.256742, 3.197049
16777216, aio_read_direct 48 Kb, 94.482333, 7.288248
16777216, aio_read_direct 56 Kb, 91.496341, 3.830116
